person_id,county,FIPS,treatment,total_duration_in_sec,Q1_answer_code,Q1_answer_text
771044,Conejos County,8021,1,174,5,Definitely worse off
779039,Mesa County,8077,0,90,1,Definitely better off
782145,Delta County,8029,1,112,5,Definitely worse off
789868,Montrose County,8085,1,92,5,Definitely worse off
793518,Delta County,8029,0,9,null,
800567,Douglas County,8035,0,39,null,
802139,Denver County,8031,1,90,5,Definitely worse off
815758,Denver County,8031,1,51,null,
816183,Denver County,8031,0,165,1,Definitely better off
819869,Denver County,8031,0,117,1,Definitely better off
821745,Denver County,8031,0,129,2,Somewhat better off
826198,Denver County,8031,0,121,4,Somewhat worse off
826276,Denver County,8031,1,20,null,
834423,Summit County,8117,0,8,null,
840604,El Paso County,8041,0,49,5,Definitely worse off
842216,Denver County,8031,0,88,4,Somewhat worse off
843627,Adams County,8001,1,170,5,Definitely worse off
846589,Denver County,8031,0,66,null,
848631,Denver County,8031,0,9,null,
848846,Denver County,8031,0,66,3,Neither better nor worse off
850277,Denver County,8031,0,217,5,Definitely worse off
854481,Denver County,8031,1,12,null,
858929,Denver County,8031,1,26,null,
864041,Jefferson County,8059,1,38,null,
877931,Denver County,8031,1,14,null,
884099,Denver County,8031,1,85,4,Somewhat worse off
885258,Adams County,8001,1,95,1,Definitely better off
886534,Denver County,8031,1,267,3,Neither better nor worse off
887024,Denver County,8031,0,91,1,Definitely better off
887382,Denver County,8031,0,343,4,Somewhat worse off
888331,Denver County,8031,0,10,null,
889793,Denver County,8031,0,61,null,
891712,Denver County,8031,0,105,3,Neither better nor worse off
892869,Denver County,8031,0,203,2,Somewhat better off
893290,Denver County,8031,0,127,3,Neither better nor worse off
901477,Saguache County,8109,1,314,null,
914767,Denver County,8031,1,125,5,Definitely worse off
923431,Denver County,8031,1,191,2,Somewhat better off
925102,Denver County,8031,1,133,4,Somewhat worse off
926457,Adams County,8001,0,14,null,
928458,Denver County,8031,1,80,5,Definitely worse off
935922,Denver County,8031,0,84,1,Definitely better off
944930,Adams County,8001,0,98,5,Definitely worse off
945015,Douglas County,8035,1,10,null,
957084,Adams County,8001,1,84,1,Definitely better off
975750,Denver County,8031,0,121,5,Definitely worse off
977814,Denver County,8031,1,42,null,
983536,Denver County,8031,0,43,5,Definitely worse off
993715,Denver County,8031,0,39,null,
1000964,Denver County,8031,0,67,4,Somewhat worse off
1015695,Denver County,8031,1,10,null,
1024434,Denver County,8031,0,74,5,Definitely worse off
1024851,Denver County,8031,0,179,4,Somewhat worse off
1036168,Denver County,8031,1,14,null,
1036746,Denver County,8031,0,46,null,
1041859,Denver County,8031,1,89,5,Definitely worse off
1049600,Denver County,8031,1,113,5,Definitely worse off
1054673,Denver County,8031,0,16,null,
1055835,Chaffee County,8015,0,50,4,Somewhat worse off
1056638,Denver County,8031,0,58,3,Neither better nor worse off
1061851,Montezuma County,8083,0,200,4,Somewhat worse off
1068541,Denver County,8031,1,7,null,
1074850,Denver County,8031,1,165,3,Neither better nor worse off
1076150,Denver County,8031,1,395,3,Neither better nor worse off
1091424,Clear Creek County,8019,0,105,4,Somewhat worse off
1105177,Denver County,8031,0,40,5,Definitely worse off
1118245,Denver County,8031,0,116,4,Somewhat worse off
1124099,Denver County,8031,0,12,null,
1130732,Denver County,8031,0,139,1,Definitely better off
1152459,Douglas County,8035,1,9,null,
1163575,Denver County,8031,0,131,4,Somewhat worse off
1197424,Douglas County,8035,0,95,1,Definitely better off
1229717,Douglas County,8035,0,21,null,
1236278,Douglas County,8035,1,4,null,
1290925,Douglas County,8035,0,113,3,Neither better nor worse off
1301275,El Paso County,8041,0,118,4,Somewhat worse off
1303116,Eagle County,8037,1,10,null,
1312966,Boulder County,8013,0,78,4,Somewhat worse off
1314654,Denver County,8031,1,100,3,Neither better nor worse off
1321378,Eagle County,8037,0,219,4,Somewhat worse off
1330903,Elbert County,8039,0,12,null,
1342378,El Paso County,8041,1,29,null,
1346587,El Paso County,8041,0,296,5,Definitely worse off
1347421,El Paso County,8041,1,62,3,Neither better nor worse off
1357447,El Paso County,8041,1,65,3,Neither better nor worse off
1368623,El Paso County,8041,1,21,null,
1370208,El Paso County,8041,1,22,null,
1390710,El Paso County,8041,0,4,null,
1422914,El Paso County,8041,1,103,1,Definitely better off
1424117,El Paso County,8041,1,193,2,Somewhat better off
1429334,El Paso County,8041,0,82,3,Neither better nor worse off
1431446,El Paso County,8041,0,70,4,Somewhat worse off
1431597,El Paso County,8041,1,22,null,
1433589,El Paso County,8041,1,430,5,Definitely worse off
1492182,Denver County,8031,1,6,null,
1510542,El Paso County,8041,1,56,5,Definitely worse off
1515889,El Paso County,8041,0,278,3,Neither better nor worse off
1528446,El Paso County,8041,1,85,5,Definitely worse off
1536030,El Paso County,8041,0,9,null,
1536977,El Paso County,8041,1,102,5,Definitely worse off
1543177,El Paso County,8041,1,77,1,Definitely better off
1546469,Fremont County,8043,0,97,4,Somewhat worse off
1555499,El Paso County,8041,1,133,5,Definitely worse off
1560844,El Paso County,8041,0,257,5,Definitely worse off
1572296,El Paso County,8041,1,138,5,Definitely worse off
1578263,El Paso County,8041,0,57,4,Somewhat worse off
1578665,El Paso County,8041,1,221,3,Neither better nor worse off
1581367,El Paso County,8041,0,146,5,Definitely worse off
1581373,El Paso County,8041,1,126,3,Neither better nor worse off
1581666,El Paso County,8041,0,180,2,Somewhat better off
1586233,Denver County,8031,0,59,5,Definitely worse off
1586579,El Paso County,8041,1,79,4,Somewhat worse off
1587934,El Paso County,8041,1,100,5,Definitely worse off
1587963,El Paso County,8041,1,6,null,
1589752,El Paso County,8041,1,164,4,Somewhat worse off
1591114,El Paso County,8041,1,106,1,Definitely better off
1593511,El Paso County,8041,0,76,4,Somewhat worse off
1593862,Larimer County,8069,1,56,3,Neither better nor worse off
1607959,El Paso County,8041,1,88,3,Neither better nor worse off
1613091,El Paso County,8041,0,9,null,
1622888,El Paso County,8041,1,242,5,Definitely worse off
1627725,El Paso County,8041,1,66,4,Somewhat worse off
1628366,El Paso County,8041,0,116,5,Definitely worse off
1628432,El Paso County,8041,0,118,5,Definitely worse off
1628569,El Paso County,8041,0,125,3,Neither better nor worse off
1641284,Lake County,8065,1,105,5,Definitely worse off
1645642,El Paso County,8041,0,149,3,Neither better nor worse off
1649910,El Paso County,8041,1,24,null,
1663070,El Paso County,8041,0,105,3,Neither better nor worse off
1677252,Fremont County,8043,1,115,3,Neither better nor worse off
1682083,Fremont County,8043,1,61,5,Definitely worse off
1682233,Fremont County,8043,0,18,null,
1704530,Garfield County,8045,1,20,null,
1708731,Garfield County,8045,1,9,null,
1709224,Garfield County,8045,1,23,null,
1712152,Garfield County,8045,0,116,2,Somewhat better off
1712337,Garfield County,8045,1,112,5,Definitely worse off
1720093,Garfield County,8045,0,126,4,Somewhat worse off
1721555,El Paso County,8041,1,78,5,Definitely worse off
1735781,Grand County,8049,1,93,5,Definitely worse off
1743785,Gunnison County,8051,1,87,4,Somewhat worse off
1751305,Gunnison County,8051,0,128,4,Somewhat worse off
1751449,Gunnison County,8051,0,142,4,Somewhat worse off
1752226,Gunnison County,8051,1,65,3,Neither better nor worse off
1757201,Huerfano County,8055,0,74,5,Definitely worse off
1791647,Jefferson County,8059,0,84,5,Definitely worse off
1800564,Denver County,8031,0,11,null,
1821564,Elbert County,8039,1,102,3,Neither better nor worse off
1847862,Jefferson County,8059,0,10,null,
1849848,Yuma County,8125,1,108,4,Somewhat worse off
1856694,Denver County,8031,0,62,4,Somewhat worse off
1868056,El Paso County,8041,1,121,4,Somewhat worse off
1896442,Denver County,8031,0,7,null,
1896510,Eagle County,8037,1,45,4,Somewhat worse off
1929980,Boulder County,8013,1,15,null,
1935315,Denver County,8031,0,74,5,Definitely worse off
1956569,Jefferson County,8059,1,119,5,Definitely worse off
1959617,Clear Creek County,8019,0,80,4,Somewhat worse off
1963398,Weld County,8123,1,135,4,Somewhat worse off
1974899,Jefferson County,8059,1,104,3,Neither better nor worse off
1980619,Denver County,8031,0,60,4,Somewhat worse off
2008231,Adams County,8001,1,35,null,
2034685,Weld County,8123,1,79,1,Definitely better off
2045943,Jefferson County,8059,0,82,1,Definitely better off
2082541,Jefferson County,8059,0,97,1,Definitely better off
2084003,Jefferson County,8059,1,72,5,Definitely worse off
2103711,Denver County,8031,1,109,3,Neither better nor worse off
2104456,Denver County,8031,0,127,4,Somewhat worse off
2108361,Kit Carson County,8063,1,90,5,Definitely worse off
2116397,Lake County,8065,1,100,5,Definitely worse off
2121308,La Plata County,8067,1,4,null,
2121369,La Plata County,8067,0,493,2,Somewhat better off
2122423,Boulder County,8013,1,93,4,Somewhat worse off
2123031,La Plata County,8067,0,116,5,Definitely worse off
2129142,La Plata County,8067,1,72,1,Definitely better off
2131818,La Plata County,8067,0,144,5,Definitely worse off
2135455,La Plata County,8067,0,63,3,Neither better nor worse off
2137653,La Plata County,8067,1,68,4,Somewhat worse off
2139120,La Plata County,8067,0,98,1,Definitely better off
2141910,La Plata County,8067,1,6,null,
2146986,La Plata County,8067,1,97,1,Definitely better off
2147006,La Plata County,8067,0,262,1,Definitely better off
2151617,El Paso County,8041,0,148,4,Somewhat worse off
2167503,Larimer County,8069,0,87,4,Somewhat worse off
2178414,Larimer County,8069,0,64,5,Definitely worse off
2182076,Larimer County,8069,1,73,3,Neither better nor worse off
2190486,Weld County,8123,1,28,null,
2196457,Larimer County,8069,0,55,5,Definitely worse off
2205627,Weld County,8123,0,6,null,
2214616,Larimer County,8069,1,50,2,Somewhat better off
2258323,Broomfield County,8014,0,118,2,Somewhat better off
2266529,Routt County,8107,0,74,5,Definitely worse off
2297435,Delta County,8029,0,98,5,Definitely worse off
2308641,Larimer County,8069,0,106,5,Definitely worse off
2317439,Weld County,8123,0,96,1,Definitely better off
2330384,Boulder County,8013,1,49,3,Neither better nor worse off
2334647,Larimer County,8069,1,109,1,Definitely better off
2340032,Fremont County,8043,1,17,null,
2351512,Lincoln County,8073,1,8,null,
2360236,Logan County,8075,0,69,3,Neither better nor worse off
2365421,Mesa County,8077,1,78,4,Somewhat worse off
2365864,Mesa County,8077,0,62,2,Somewhat better off
2382516,Mesa County,8077,0,114,5,Definitely worse off
2387966,Pueblo County,8101,0,61,3,Neither better nor worse off
2394952,Mesa County,8077,1,74,4,Somewhat worse off
2397545,Mesa County,8077,0,78,5,Definitely worse off
2406501,Mesa County,8077,0,129,3,Neither better nor worse off
2407187,Mesa County,8077,1,83,4,Somewhat worse off
2414820,Mesa County,8077,0,77,1,Definitely better off
2418374,Mesa County,8077,0,55,5,Definitely worse off
2421477,Denver County,8031,0,5,null,
2424566,Garfield County,8045,1,103,5,Definitely worse off
2426514,Mesa County,8077,0,127,1,Definitely better off
2437528,Mesa County,8077,1,109,3,Neither better nor worse off
2443323,Mesa County,8077,0,53,4,Somewhat worse off
2444406,Adams County,8001,0,82,5,Definitely worse off
2445323,Mesa County,8077,0,148,1,Definitely better off
2454871,Denver County,8031,0,6,null,
2456062,Moffat County,8081,1,34,null,
2457230,Moffat County,8081,1,221,1,Definitely better off
2461921,Montezuma County,8083,1,8,null,
2465941,Montezuma County,8083,0,86,3,Neither better nor worse off
2467745,Montezuma County,8083,1,53,3,Neither better nor worse off
2474504,Montrose County,8085,1,102,5,Definitely worse off
2482362,Montrose County,8085,0,85,5,Definitely worse off
2499755,Morgan County,8087,1,12,null,
2503047,Morgan County,8087,1,109,1,Definitely better off
2511473,Douglas County,8035,0,41,3,Neither better nor worse off
2516949,Otero County,8089,1,93,3,Neither better nor worse off
2517030,Otero County,8089,0,68,null,
2518583,Otero County,8089,0,56,5,Definitely worse off
2530158,Park County,8093,1,107,2,Somewhat better off
2543568,Eagle County,8037,1,61,4,Somewhat worse off
2546510,Delta County,8029,0,6,null,
2546648,Eagle County,8037,0,139,5,Definitely worse off
2552246,Eagle County,8037,0,28,null,
2563229,Pueblo County,8101,1,13,null,
2567848,Pueblo County,8101,0,15,null,
2573515,Pueblo County,8101,1,129,3,Neither better nor worse off
2575270,Pueblo County,8101,1,82,1,Definitely better off
2579693,Pueblo County,8101,1,94,1,Definitely better off
2581025,Pueblo County,8101,0,132,3,Neither better nor worse off
2581604,Pueblo County,8101,1,91,3,Neither better nor worse off
2590761,Pueblo County,8101,0,172,3,Neither better nor worse off
2592091,Pueblo County,8101,0,21,null,
2598865,Pueblo County,8101,1,310,5,Definitely worse off
2599775,Pueblo County,8101,1,198,4,Somewhat worse off
2602804,Pueblo County,8101,1,192,1,Definitely better off
2603365,Pueblo County,8101,1,77,null,
2605099,Pueblo County,8101,1,195,4,Somewhat worse off
2605443,Pueblo County,8101,0,113,4,Somewhat worse off
2607394,Pueblo County,8101,1,209,3,Neither better nor worse off
2612847,Pueblo County,8101,1,80,3,Neither better nor worse off
2615369,Pueblo County,8101,0,81,5,Definitely worse off
2615676,Pueblo County,8101,0,48,null,
2617743,Pueblo County,8101,1,143,5,Definitely worse off
2618337,Denver County,8031,0,63,3,Neither better nor worse off
2619645,El Paso County,8041,1,75,5,Definitely worse off
2621141,Pueblo County,8101,1,26,null,
2622977,Pueblo County,8101,1,7,null,
2623480,El Paso County,8041,0,23,null,
2625259,Pueblo County,8101,0,69,5,Definitely worse off
2631064,Pueblo County,8101,0,176,3,Neither better nor worse off
2635283,Pueblo County,8101,1,129,5,Definitely worse off
2637788,Pueblo County,8101,0,68,5,Definitely worse off
2641224,El Paso County,8041,1,68,1,Definitely better off
2652759,Pueblo County,8101,0,56,4,Somewhat worse off
2660736,Rio Grande County,8105,1,22,null,
2661432,Rio Grande County,8105,1,109,null,
2662282,Rio Grande County,8105,1,145,3,Neither better nor worse off
2666464,Routt County,8107,0,62,3,Neither better nor worse off
2691814,Summit County,8117,1,64,4,Somewhat worse off
2693122,Chaffee County,8015,0,112,3,Neither better nor worse off
2695021,Summit County,8117,0,63,3,Neither better nor worse off
2699430,Denver County,8031,1,98,5,Definitely worse off
2701530,Summit County,8117,1,197,5,Definitely worse off
2701764,Summit County,8117,0,78,3,Neither better nor worse off
2701969,Summit County,8117,0,125,2,Somewhat better off
2708126,Summit County,8117,0,230,null,
2722983,Teller County,8119,0,120,5,Definitely worse off
2733675,Weld County,8123,0,170,4,Somewhat worse off
2758736,Weld County,8123,0,157,1,Definitely better off
2763605,Weld County,8123,1,118,1,Definitely better off
2763952,Weld County,8123,0,51,null,
2773599,Weld County,8123,1,85,4,Somewhat worse off
2780120,Larimer County,8069,0,59,5,Definitely worse off
2781682,Weld County,8123,1,130,4,Somewhat worse off
2785359,Weld County,8123,1,235,1,Definitely better off
2787545,Weld County,8123,1,78,3,Neither better nor worse off
2790504,Weld County,8123,1,78,1,Definitely better off
2792149,Weld County,8123,1,76,4,Somewhat worse off
2792241,Boulder County,8013,1,115,1,Definitely better off
2808934,Weld County,8123,1,242,1,Definitely better off
2809468,Weld County,8123,1,100,3,Neither better nor worse off
2819525,Weld County,8123,0,58,2,Somewhat better off
2824168,Weld County,8123,0,149,1,Definitely better off
2826387,Larimer County,8069,0,14,null,
2828177,Boulder County,8013,1,60,1,Definitely better off
2830832,Weld County,8123,0,13,null,
2853068,Yuma County,8125,1,14,null,
2863029,Gilpin County,8047,1,7,null,
2904248,Broomfield County,8014,1,170,5,Definitely worse off
2928170,Denver County,8031,0,86,4,Somewhat worse off
2962159,El Paso County,8041,1,188,3,Neither better nor worse off
2986360,Weld County,8123,1,72,3,Neither better nor worse off
3068740,Denver County,8031,1,11,null,
3110184,Montrose County,8085,0,14,null,
3164567,Denver County,8031,0,89,5,Definitely worse off
3178467,Denver County,8031,0,86,4,Somewhat worse off
3254699,El Paso County,8041,1,262,5,Definitely worse off
3276074,Jefferson County,8059,1,241,1,Definitely better off
3331369,El Paso County,8041,0,66,5,Definitely worse off
3350876,Boulder County,8013,0,33,5,Definitely worse off
3358729,Weld County,8123,0,78,3,Neither better nor worse off
3363874,Adams County,8001,1,11,null,
3369504,Broomfield County,8014,0,56,5,Definitely worse off
3369567,Douglas County,8035,1,14,null,
3371848,El Paso County,8041,1,5,null,
3372230,El Paso County,8041,1,296,3,Neither better nor worse off
3375407,Fremont County,8043,1,4,null,
3378515,Lake County,8065,1,59,4,Somewhat worse off
3379792,La Plata County,8067,0,53,5,Definitely worse off
3384205,Pueblo County,8101,0,8,null,
3385229,El Paso County,8041,0,110,2,Somewhat better off
3398992,Denver County,8031,0,63,5,Definitely worse off
3403882,El Paso County,8041,0,90,5,Definitely worse off
3406917,Denver County,8031,1,90,4,Somewhat worse off
3412327,Montrose County,8085,1,115,5,Definitely worse off
3417391,Pueblo County,8101,1,58,null,
3592488,Denver County,8031,1,99,5,Definitely worse off
3598634,Denver County,8031,1,115,3,Neither better nor worse off
3618658,Adams County,8001,0,160,3,Neither better nor worse off
3745673,Morgan County,8087,1,82,1,Definitely better off
3772906,El Paso County,8041,1,28,null,
3805141,Otero County,8089,0,33,5,Definitely worse off
3809434,Pueblo County,8101,1,127,5,Definitely worse off
3813964,Pueblo County,8101,0,11,null,
3834875,Fremont County,8043,1,267,1,Definitely better off
3843412,La Plata County,8067,0,124,1,Definitely better off
3905884,Adams County,8001,1,56,5,Definitely worse off
3961466,Denver County,8031,0,66,4,Somewhat worse off
4042642,Pueblo County,8101,0,6,null,
4078574,La Plata County,8067,1,18,null,
4084972,Denver County,8031,1,113,2,Somewhat better off
4114230,La Plata County,8067,0,95,3,Neither better nor worse off
4160024,Garfield County,8045,1,65,2,Somewhat better off
4163199,Denver County,8031,1,5,null,
4228890,Weld County,8123,0,174,3,Neither better nor worse off
4231911,Summit County,8117,0,15,null,
4248796,Denver County,8031,0,140,5,Definitely worse off
4262050,San Miguel County,8113,1,50,3,Neither better nor worse off
4280448,Adams County,8001,0,139,2,Somewhat better off
4286269,Baca County,8009,1,15,null,
4289579,Boulder County,8013,0,82,5,Definitely worse off
4299467,Denver County,8031,0,39,null,
4300277,Denver County,8031,0,13,null,
4300476,Adams County,8001,1,34,null,
4302002,Denver County,8031,1,85,2,Somewhat better off
4311265,El Paso County,8041,0,135,4,Somewhat worse off
4316170,El Paso County,8041,0,151,3,Neither better nor worse off
4316594,El Paso County,8041,0,57,4,Somewhat worse off
4321060,Pitkin County,8097,0,49,5,Definitely worse off
4323294,Denver County,8031,1,8,null,
4329414,Adams County,8001,0,8,null,
4331772,Larimer County,8069,0,8,null,
4333278,Denver County,8031,1,70,4,Somewhat worse off
4339689,Delta County,8029,1,91,4,Somewhat worse off
4342967,Saguache County,8109,1,134,3,Neither better nor worse off
4349145,Yuma County,8125,0,63,1,Definitely better off
4387236,Denver County,8031,0,105,5,Definitely worse off
4447880,Boulder County,8013,1,91,5,Definitely worse off
4470352,El Paso County,8041,0,142,3,Neither better nor worse off
4555489,El Paso County,8041,1,75,4,Somewhat worse off
4635720,Adams County,8001,0,2,null,
4678443,Boulder County,8013,0,50,2,Somewhat better off
4681897,El Paso County,8041,1,104,5,Definitely worse off
4697283,El Paso County,8041,1,97,1,Definitely better off
4699359,Montezuma County,8083,1,27,null,
4744734,Crowley County,8025,1,8,null,
4767217,Mesa County,8077,1,146,4,Somewhat worse off
4768372,Adams County,8001,1,41,null,
4775412,Boulder County,8013,1,5,null,
4841597,Douglas County,8035,1,73,3,Neither better nor worse off
15160886,Chaffee County,8015,1,128,4,Somewhat worse off
15168034,Larimer County,8069,1,115,3,Neither better nor worse off
15175514,El Paso County,8041,1,96,null,
15183489,La Plata County,8067,1,95,2,Somewhat better off
15199358,Denver County,8031,1,68,4,Somewhat worse off
15203937,Denver County,8031,0,87,1,Definitely better off
15216370,Adams County,8001,0,6,null,
15230857,Denver County,8031,0,26,null,
15234487,Adams County,8001,0,15,null,
15237814,Denver County,8031,1,140,5,Definitely worse off
15240748,Boulder County,8013,1,102,5,Definitely worse off
15251748,Denver County,8031,1,198,4,Somewhat worse off
15264230,El Paso County,8041,1,165,5,Definitely worse off
15264323,El Paso County,8041,1,4,null,
15277134,Adams County,8001,0,127,3,Neither better nor worse off
15286640,Denver County,8031,0,51,3,Neither better nor worse off
15289267,Weld County,8123,0,46,1,Definitely better off
15291668,Boulder County,8013,1,142,5,Definitely worse off
15293867,Mesa County,8077,0,96,1,Definitely better off
15296134,Denver County,8031,0,83,4,Somewhat worse off
15297697,Morgan County,8087,1,76,1,Definitely better off
15302323,Mesa County,8077,1,46,1,Definitely better off
15302348,Rio Grande County,8105,1,86,4,Somewhat worse off
15304586,Teller County,8119,0,139,4,Somewhat worse off
15305116,Weld County,8123,1,68,4,Somewhat worse off
15306500,Weld County,8123,0,66,1,Definitely better off
15307616,Weld County,8123,1,45,5,Definitely worse off
15310546,El Paso County,8041,0,38,5,Definitely worse off
15310989,Mesa County,8077,1,52,1,Definitely better off
15316009,El Paso County,8041,0,102,1,Definitely better off
15316461,Weld County,8123,1,46,4,Somewhat worse off
15318941,Chaffee County,8015,0,21,null,
15341379,Adams County,8001,1,25,null,
15367497,Adams County,8001,0,178,3,Neither better nor worse off
15399258,El Paso County,8041,0,10,null,
15409646,Mesa County,8077,0,225,5,Definitely worse off
15426716,El Paso County,8041,1,319,1,Definitely better off
15493226,El Paso County,8041,0,115,5,Definitely worse off
15511496,Boulder County,8013,0,116,5,Definitely worse off
15566762,Denver County,8031,1,5,null,
15573491,Broomfield County,8014,0,164,4,Somewhat worse off
15575351,Denver County,8031,0,70,4,Somewhat worse off
15579371,Pueblo County,8101,1,63,5,Definitely worse off
15579449,Larimer County,8069,0,69,5,Definitely worse off
15583742,Denver County,8031,1,80,3,Neither better nor worse off
15584688,Elbert County,8039,1,116,1,Definitely better off
15588063,Gilpin County,8047,0,107,5,Definitely worse off
15590833,Broomfield County,8014,0,41,5,Definitely worse off
15592043,Larimer County,8069,1,60,1,Definitely better off
15594349,Jefferson County,8059,1,241,1,Definitely better off
15601453,Grand County,8049,0,38,1,Definitely better off
15601998,Phillips County,8095,0,17,null,
15606897,Denver County,8031,1,50,5,Definitely worse off
15609688,Larimer County,8069,0,49,4,Somewhat worse off
15614069,El Paso County,8041,0,83,1,Definitely better off
15614170,El Paso County,8041,0,195,3,Neither better nor worse off
15615346,El Paso County,8041,1,68,5,Definitely worse off
15617921,Summit County,8117,0,6,null,
15618036,Adams County,8001,0,11,null,
15621332,Otero County,8089,0,21,null,
15625492,Mesa County,8077,1,8,null,
15625611,Garfield County,8045,0,108,2,Somewhat better off
15627367,Boulder County,8013,0,114,5,Definitely worse off
15628129,Boulder County,8013,0,109,3,Neither better nor worse off
15628440,Boulder County,8013,0,80,3,Neither better nor worse off
15629639,Douglas County,8035,0,79,3,Neither better nor worse off
15630397,Denver County,8031,0,43,5,Definitely worse off
15633676,Denver County,8031,0,6,null,
15637327,Mesa County,8077,0,76,4,Somewhat worse off
15638295,Jefferson County,8059,0,168,5,Definitely worse off
15642969,Denver County,8031,0,135,5,Definitely worse off
15643474,Denver County,8031,0,64,3,Neither better nor worse off
15651379,Adams County,8001,0,20,null,
15655545,Weld County,8123,1,54,2,Somewhat better off
15661251,El Paso County,8041,0,180,5,Definitely worse off
15665063,Adams County,8001,0,33,null,
15669561,Eagle County,8037,0,66,3,Neither better nor worse off
